openmlid,algorithm,algorithmoptions,numinstances,numattributes,numattributesafterbinarization,trainpoints,numinstances_sub,numattributes_sub,builds,predictioncalls_training,predictioncalls_prediction
14,bagging,-P 95 -I 20,2000,76,76,1000,950,76,20,0,1000
16,bagging,-P 70 -I 50,2000,64,64,1000,700,64,50,0,1000
12,bagging,-P 60 -I 50,2000,216,216,1000,600,216,50,0,1000
3,bagging,-P 80 -I 50,3196,36,40,1000,800,36,50,0,2196
6,bagging,-P 90 -I 50,20000,16,16,1000,900,16,50,0,19000
6,bagging,-P 60 -I 50,20000,16,16,10000,6000,16,50,0,10000
14,bagging,-P 60 -I 50,2000,76,76,1000,600,76,50,0,1000
6,bagging,-P 90 -I 50,20000,16,16,10000,9000,16,50,0,10000
16,bagging,-P 95 -I 20,2000,64,64,1000,950,64,20,0,1000
12,bagging,-P 90 -I 50,2000,216,216,1000,900,216,50,0,1000
18,bagging,-P 70 -I 50,2000,6,6,1000,700,6,50,0,1000
6,bagging,-P 80 -I 50,20000,16,16,1000,800,16,50,0,19000
16,bagging,-P 60 -I 50,2000,64,64,1000,600,64,50,0,1000
21,bagging,-P 70 -I 50,1728,6,21,1000,700,6,50,0,728
14,bagging,-P 90 -I 50,2000,76,76,1000,900,76,50,0,1000
6,bagging,-P 80 -I 50,20000,16,16,10000,8000,16,50,0,10000
12,bagging,-P 80 -I 50,2000,216,216,1000,800,216,50,0,1000
18,bagging,-P 95 -I 20,2000,6,6,1000,950,6,20,0,1000
21,bagging,-P 95 -I 20,1728,6,21,1000,950,6,20,0,728
16,bagging,-P 90 -I 50,2000,64,64,1000,900,64,50,0,1000
22,bagging,-P 70 -I 50,2000,47,47,1000,700,47,50,0,1000
14,bagging,-P 80 -I 50,2000,76,76,1000,800,76,50,0,1000
18,bagging,-P 60 -I 50,2000,6,6,1000,600,6,50,0,1000
21,bagging,-P 60 -I 50,1728,6,21,1000,600,6,50,0,728
16,bagging,-P 80 -I 50,2000,64,64,1000,800,64,50,0,1000
22,bagging,-P 95 -I 20,2000,47,47,1000,950,47,20,0,1000
23,bagging,-P 70 -I 50,1473,9,21,1000,700,9,50,0,473
18,bagging,-P 90 -I 50,2000,6,6,1000,900,6,50,0,1000
21,bagging,-P 90 -I 50,1728,6,21,1000,900,6,50,0,728
22,bagging,-P 60 -I 50,2000,47,47,1000,600,47,50,0,1000
24,bagging,-P 70 -I 50,8124,22,121,1000,700,22,50,0,7124
23,bagging,-P 95 -I 20,1473,9,21,1000,950,9,20,0,473
18,bagging,-P 80 -I 50,2000,6,6,1000,800,6,50,0,1000
21,bagging,-P 80 -I 50,1728,6,21,1000,800,6,50,0,728
24,bagging,-P 95 -I 20,8124,22,121,1000,950,22,20,0,7124
22,bagging,-P 90 -I 50,2000,47,47,1000,900,47,50,0,1000
23,bagging,-P 60 -I 50,1473,9,21,1000,600,9,50,0,473
24,bagging,-P 60 -I 50,8124,22,121,1000,600,22,50,0,7124
22,bagging,-P 80 -I 50,2000,47,47,1000,800,47,50,0,1000
23,bagging,-P 90 -I 50,1473,9,21,1000,900,9,50,0,473
24,bagging,-P 90 -I 50,8124,22,121,1000,900,22,50,0,7124
23,bagging,-P 80 -I 50,1473,9,21,1000,800,9,50,0,473
